,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
135,,LAGOA II,31100557.0,2001.0,15784.0,62364519.0,"(3, 6]","(14, 18]",12720.0,394.54,5.05,223.19,448.9,3.0,2020-10-01,2020-11-01
136,,LAGOA II,31100556.0,2001.0,15784.0,62364519.0,"(3, 6]","(10, 14]",21360.0,405.71,5.12,231.59,462.71,1.0,2020-10-01,2020-11-01
137,,LAGOA II,31100555.0,2001.0,15784.0,62364519.0,"(3, 6]","(6, 10]",35650.0,394.58,5.15,202.49,438.93,2.0,2020-10-01,2020-11-01
138,,LAGOA II,31100554.0,2001.0,15784.0,62364519.0,"(3, 6]","(2, 6]",52910.0,387.3,5.19,192.36,427.79,4.0,2020-10-01,2020-11-01
139,,LAGOA II,31100553.0,2001.0,15784.0,62364519.0,"(3, 6]","(-2, 2]",56730.0,372.81,5.19,186.53,412.23,6.0,2020-10-01,2020-11-01
140,,LAGOA II,31100552.0,2001.0,15784.0,62364519.0,"(3, 6]","(-6, -2]",46380.0,359.94,5.19,181.25,398.38,8.0,2020-10-01,2020-11-01
141,,LAGOA II,31100551.0,2001.0,15784.0,62364519.0,"(3, 6]","(-10, -6]",31290.0,342.72,5.15,176.54,380.94,9.0,2020-10-01,2020-11-01
142,,LAGOA II,31100550.0,2001.0,15784.0,62364519.0,"(3, 6]","(-14, -10]",19280.0,324.22,5.11,168.57,360.89,11.0,2020-10-01,2020-11-01
143,,LAGOA II,31100549.0,2001.0,15784.0,62364519.0,"(3, 6]","(-18, -14]",11740.0,312.8,5.09,162.55,348.01,12.0,2020-10-01,2020-11-01
144,,LAGOA II,31100548.0,2001.0,15784.0,62364519.0,"(3, 6]","(-22, -18]",6730.0,288.0,5.04,138.33,314.96,13.0,2020-10-01,2020-11-01
145,,LAGOA II,31100547.0,2001.0,15784.0,62364519.0,"(3, 6]","(-26, -22]",3970.0,261.11,4.95,139.07,291.48,15.0,2020-10-01,2020-11-01
146,,LAGOA II,31100546.0,2001.0,15784.0,62364519.0,"(3, 6]","(-Infinito, -26]",5400.0,263.29,4.99,151.03,299.21,14.0,2020-10-01,2020-11-01
147,,LAGOA II,31100545.0,2001.0,15784.0,,"(-Infinito, 3]","(26, Infinito]",90.0,185.34,2.56,70.07,195.75,2.0,2020-10-01,2020-11-01
148,,LAGOA II,31100544.0,2001.0,15784.0,,"(-Infinito, 3]","(22, 26]",70.0,148.98,2.49,37.47,151.21,9.0,2020-10-01,2020-11-01
